Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A
416,Jaden Philogene Bidace,eng ENG,"FW,MF",Aston Villa,22.0,2002.0,11,2,332,3.7,0,0,0
418,Jordan Pickford,eng ENG,GK,Everton,30.0,1994.0,38,38,3420,38.0,0,1,1
419,Ethan Pinnock,jm JAM,DF,Brentford,31.0,1993.0,22,21,1913,21.3,2,0,2
420,Daniel Podence,pt POR,"MF,FW",Wolves,28.0,1995.0,2,0,48,0.5,0,0,0
421,Alfie Pond,eng ENG,DF,Wolves,20.0,2004.0,1,0,1,0.0,0,0,0
422,Nick Pope,eng ENG,GK,Newcastle  Utd,32.0,1992.0,28,28,2520,28.0,0,0,0
423,Pedro Porro,es ESP,DF,Tottenham,24.0,1999.0,33,28,2610,29.0,2,6,8
424,Jarell Quansah,eng ENG,DF,Liverpool,21.0,2003.0,13,4,495,5.5,0,0,0
425,HÃ¡kon Rafn Valdimarsson,is ISL,GK,Brentford,22.0,2001.0,2,1,145,1.6,0,0,0
426,Aaron Ramsdale,eng ENG,GK,Southampton,26.0,1998.0,30,30,2700,30.0,0,0,0
427,Jacob Ramsey,eng ENG,"FW,MF",Aston Villa,23.0,2001.0,29,19,1623,18.0,1,3,4
428,Marcus Rashford,eng ENG,"FW,MF",Manchester  Utd,26.0,1997.0,15,12,978,10.9,4,1,5
430,David Raya,es ESP,GK,Arsenal,28.0,1995.0,38,38,3420,38.0,0,0,0
431,Harrison Reed,eng ENG,MF,Fulham,29.0,1995.0,12,0,108,1.2,0,0,0
432,Remy Rees-Dottin,eng ENG,FW,Bournemouth,18.0,2006.0,1,0,1,0.0,0,0,0
433,Sergio ReguilÃ³n,es ESP,DF,Tottenham,27.0,1996.0,4,1,196,2.2,0,0,0
434,Vitor Reis,br BRA,DF,Manchester  City,18.0,2006.0,1,0,1,0.0,0,0,0
435,Chadi Riad,ma MAR,DF,Crystal  Palace,21.0,2003.0,1,1,90,1.0,0,0,0
436,Declan Rice,eng ENG,MF,Arsenal,25.0,1999.0,35,33,2825,31.4,4,7,11
437,Chris Richards,us USA,DF,Crystal  Palace,24.0,2000.0,24,22,1922,21.4,1,0,1
438,Richarlison,br BRA,FW,Tottenham,27.0,1997.0,15,4,504,5.6,4,1,5
439,Andrew Robertson,sct SCO,DF,Liverpool,30.0,1994.0,33,29,2482,27.6,0,1,1
440,Antonee Robinson,us USA,DF,Fulham,26.0,1997.0,36,35,3167,35.2,0,10,10
441,Jay Robinson,eng ENG,"MF,FW",Southampton,17.0,2007.0,4,1,137,1.5,0,0,0
442,Rodri,es ESP,MF,Manchester  City,28.0,1996.0,3,1,73,0.8,0,0,0
443,Guido RodrÃ­guez,ar ARG,MF,West Ham,30.0,1994.0,23,16,1149,12.8,0,1,1
444,Mads Roerslev,dk DEN,DF,Brentford,25.0,1999.0,19,11,1101,12.2,0,2,2
445,Morgan Rogers,eng ENG,"FW,MF",Aston Villa,22.0,2002.0,37,37,3114,34.6,8,10,18
446,Cristian Romero,ar ARG,DF,Tottenham,26.0,1998.0,18,18,1416,15.7,1,0,1
447,Georginio Rutter,fr FRA,"MF,FW",Brighton,22.0,2002.0,28,19,1656,18.4,5,3,8
448,JosÃ© SÃ¡,pt POR,GK,Wolves,31.0,1993.0,29,29,2609,29.0,0,0,0
449,Bukayo Saka,eng ENG,"FW,MF",Arsenal,22.0,2001.0,25,20,1729,19.2,6,10,16
450,Mohamed Salah,eg EGY,FW,Liverpool,32.0,1992.0,38,38,3371,37.5,29,18,47
451,William Saliba,fr FRA,DF,Arsenal,23.0,2001.0,35,35,3039,33.8,2,0,2
452,Robert SÃ¡nchez,es ESP,GK,Chelsea,26.0,1997.0,32,32,2880,32.0,0,0,0
453,Jadon Sancho,eng ENG,FW,Chelsea,24.0,2000.0,31,19,1764,19.6,3,4,7
454,Ibrahim SangarÃ©,ci CIV,MF,Nott'ham  Forest,26.0,1997.0,13,7,590,6.6,0,1,1
455,Pablo Sarabia,es ESP,"MF,FW",Wolves,32.0,1992.0,23,7,814,9.0,3,2,5
456,Jeremy Sarmiento,ec ECU,MF,Brighton,22.0,2002.0,1,0,9,0.1,0,0,0
457,Ismaila Sarr,sn SEN,MF,Crystal  Palace,26.0,1998.0,38,30,2711,30.1,8,6,14
458,SÃ¡vio,br BRA,"FW,MF",Manchester  City,20.0,2004.0,29,21,1766,19.6,1,8,9
459,Oliver Scarles,eng ENG,"DF,FW",West Ham,18.0,2005.0,15,7,665,7.4,0,0,0
460,Dane Scarlett,eng ENG,"FW,MF",Tottenham,20.0,2004.0,3,0,34,0.4,0,1,1
461,Kevin Schade,de GER,FW,Brentford,22.0,2001.0,38,26,2293,25.5,11,2,13
462,Fabian SchÃ¤r,ch SUI,DF,Newcastle  Utd,32.0,1991.0,34,33,2934,32.6,4,0,4
463,Jeffrey Schlupp,gh GHA,"MF,DF",Crystal  Palace,31.0,1992.0,12,0,103,1.1,0,0,0
464,Alex Scott,eng ENG,MF,Bournemouth,20.0,2003.0,20,8,755,8.4,0,0,0
465,Matz Sels,be BEL,GK,Nott'ham  Forest,32.0,1992.0,38,38,3420,38.0,0,0,0
466,NÃ©lson Semedo,pt POR,DF,Wolves,30.0,1993.0,34,32,2886,32.1,0,4,4
467,Antoine Semenyo,gh GHA,FW,Bournemouth,24.0,2000.0,37,36,3203,35.6,11,5,16
468,Marcos Senesi,ar ARG,DF,Bournemouth,27.0,1997.0,17,13,1106,12.3,0,0,0
469,Ryan Sessegnon,eng ENG,"FW,DF",Fulham,24.0,2000.0,16,7,580,6.4,4,2,6
470,Luke Shaw,eng ENG,DF,Manchester  Utd,29.0,1995.0,7,4,349,3.9,0,0,0
471,Zain Silcott-Duberry,ms MSR,FW,Bournemouth,19.0,2005.0,1,0,1,0.0,0,0,0
472,Bernardo Silva,pt POR,"MF,FW",Manchester  City,29.0,1994.0,33,29,2670,29.7,4,4,8
473,Jota Silva,pt POR,"FW,MF",Nott'ham  Forest,24.0,1999.0,31,5,854,9.5,3,1,4
474,Eric da Silva Moreira,de GER,"MF,DF",Nott'ham  Forest,18.0,2006.0,2,0,30,0.3,0,0,0
475,Jahmai Simpson-Pusey,eng ENG,DF,Manchester  City,18.0,2005.0,2,1,96,1.1,0,0,0
476,Luis Sinisterra,co COL,"FW,MF",Bournemouth,25.0,1999.0,12,1,236,2.6,1,1,2
477,Oliver Skipp,eng ENG,MF,Leicester  City,23.0,2000.0,24,10,1129,12.5,0,0,0
478,William Smallbone,ie IRL,MF,Southampton,24.0,2000.0,18,6,690,7.7,1,0,1
479,Adam Smith,eng ENG,DF,Bournemouth,33.0,1991.0,25,19,1590,17.7,0,0,0
480,Emile Smith Rowe,eng ENG,MF,Fulham,24.0,2000.0,34,25,2043,22.7,6,3,9
481,Dominic Solanke,eng ENG,FW,Tottenham,26.0,1997.0,27,25,2201,24.5,9,3,12
482,Carlos Soler,es ESP,"MF,FW",West Ham,27.0,1997.0,31,14,1409,15.7,1,1,2
483,Julio Soler,ar ARG,"DF,FW",Bournemouth,19.0,2005.0,3,0,11,0.1,0,0,0
484,RamÃ³n Sosa,py PAR,"FW,MF",Nott'ham  Forest,24.0,1999.0,19,1,295,3.3,1,0,1
485,TomÃ¡Å¡ SouÄek,cz CZE,MF,West Ham,29.0,1995.0,35,30,2567,28.5,9,1,10
486,Boubakary SoumarÃ©,fr FRA,MF,Leicester  City,25.0,1999.0,31,25,2171,24.1,0,0,0
487,Djed Spence,eng ENG,DF,Tottenham,23.0,2000.0,25,19,1792,19.9,1,2,3
488,Jay Stansfield,eng ENG,MF,Fulham,21.0,2002.0,1,0,1,0.0,0,0,0
489,Jason Steele,eng ENG,GK,Brighton,33.0,1990.0,2,2,180,2.0,0,0,0
490,Jack Stephens,eng ENG,DF,Southampton,30.0,1994.0,19,17,1389,15.4,1,0,1
491,Raheem Sterling,eng ENG,"FW,MF",Arsenal,29.0,1994.0,17,7,499,5.5,0,2,2
492,Ross Stewart,sct SCO,FW,Southampton,28.0,1996.0,12,4,389,4.3,1,0,1
493,Jakub Stolarczyk,pl POL,GK,Leicester  City,23.0,2000.0,10,10,900,10.0,0,0,0
494,John Stones,eng ENG,"DF,MF",Manchester  City,30.0,1994.0,11,6,548,6.1,2,0,2
495,JÃ¸rgen Strand Larsen,no NOR,FW,Wolves,24.0,2000.0,35,30,2587,28.7,14,4,18
496,Yukinari Sugawara,jp JPN,"DF,MF",Southampton,24.0,2000.0,30,16,1557,17.3,1,1,2
497,Kamaldeen Sulemana,gh GHA,"FW,MF",Southampton,22.0,2002.0,26,17,1402,15.6,1,1,2
498,Crysencio Summerville,nl NED,"FW,MF",West Ham,22.0,2001.0,19,7,786,8.7,1,1,2
499,Sammie Szmodics,ie IRL,"FW,MF",Ipswich Town,28.0,1995.0,20,13,992,11.0,4,0,4
500,Dominik Szoboszlai,hu HUN,MF,Liverpool,23.0,2000.0,36,29,2491,27.7,6,6,12
501,Matt Targett,eng ENG,DF,Newcastle  Utd,28.0,1995.0,2,0,21,0.2,0,0,0
502,James Tarkowski,eng ENG,DF,Everton,31.0,1992.0,33,33,2922,32.5,1,1,2
503,Marcus Tavernier,eng ENG,"FW,MF",Bournemouth,25.0,1999.0,29,20,1939,21.5,3,5,8
504,Charlie Taylor,eng ENG,DF,Southampton,30.0,1993.0,8,3,356,4.0,0,0,0
505,Jack Taylor,ie IRL,MF,Ipswich Town,26.0,1998.0,32,4,860,9.6,1,0,1
506,Mathys Tel,fr FRA,FW,Tottenham,19.0,2005.0,13,11,911,10.1,2,1,3
